# git_sha=91e1997789dfc52e821a1386d39e280de7209df3-dirty
# timestamp_utc=2026-07-24T08:42:47.796753+00:00
# device=cpu
# cpu_model=Apple M2  os_cpu_count=8  requested_threads=6
# torch=2.10.0 numpy=2.3.4 scipy=1.16.3 python=3.14.3
# config={"L_max": 3, "T": 20.0, "alpha": 0.1, "base_dt": 0.4, "beta": 0.5, "chunk": 250, "cross_hi": 0.05, "cross_lo": 1e-05, "lam": 0.3, "level_samples": 2000, "n_nodes": 200, "out": null, "pilot_samples": 50, "quick": false, "refinement": 2, "rel_eps": [0.02, 0.01, 0.005], "rho_high": 0.99, "rho_low": 0.3, "seeds": [0, 1, 2], "sigma": 0.433, "stress": true, "threads": 6, "topologies": ["er", "ba", "ws", "rr"], "traffic": ["uniform", "mmpp2", "pareto", "degree"], "var_samples": 4000}
C_l,V_l,dt,level,mean_Y,seed,topology,traffic
150.0,5.680471067240112e-06,0.2,1,0.008491607128695646,2,rr,uniform
300.0,1.9202319704440494e-06,0.1,2,0.005860099327261468,2,rr,uniform
600.0,9.090397481342341e-07,0.05,3,0.004223747925531998,2,rr,uniform
50.0,0.001450283658987756,0.4,0,0.8933178426729729,0,rr,mmpp2
150.0,9.97685821128476e-06,0.2,1,0.01683198432649046,0,rr,mmpp2
300.0,2.6073679865471413e-06,0.1,2,0.007649909873930568,0,rr,mmpp2
600.0,1.076995652325689e-06,0.05,3,0.005377230643087355,0,rr,mmpp2
50.0,0.0015704441666192764,0.4,0,0.9150676277384376,1,rr,mmpp2
150.0,8.66105647829377e-06,0.2,1,0.012937062305098713,1,rr,mmpp2
300.0,2.416069189877413e-06,0.1,2,0.007581357327445392,1,rr,mmpp2
600.0,9.825254957792904e-07,0.05,3,0.005346616236542841,1,rr,mmpp2
50.0,0.001591092915237658,0.4,0,0.9409512633990842,2,rr,mmpp2
150.0,8.511992912666375e-06,0.2,1,0.013158322869868216,2,rr,mmpp2
300.0,2.3578537270901818e-06,0.1,2,0.007416965032465468,2,rr,mmpp2
600.0,1.0462638559704845e-06,0.05,3,0.00517790743258474,2,rr,mmpp2
50.0,0.0013972410828941818,0.4,0,0.8830345369646899,0,rr,pareto
150.0,6.97103537543981e-06,0.2,1,0.01707227077859745,0,rr,pareto
300.0,3.0589450982348314e-06,0.1,2,0.010939330134526557,0,rr,pareto
