W_MC_0.0005,W_MC_0.001,W_MC_0.002,W_MC_0.005,W_MC_0.01,W_MLMC_0.0005,W_MLMC_0.001,W_MLMC_0.002,W_MLMC_0.005,W_MLMC_0.01,antithetic_work_ratio_vs_mc,beta_var,both_floored_0.0005,both_floored_0.001,both_floored_0.002,both_floored_0.005,both_floored_0.01,crossover_rel_eps,cv_work_ratio_vs_mc,min_V_l,ratio_0.0005,ratio_0.001,ratio_0.002,ratio_0.005,ratio_0.01,ref_mean,seed,topology,traffic,var_mc_per_path
4989004.788539178,1247251.1971347944,311812.7992836986,49890.047885391774,20000.0,1124141.3970405408,290890.17666644696,105522.87509214634,60983.660014743415,55000.0,32.0350986930213,1.398316659480559,False,False,False,False,True,0.004359794641269909,16.570589993116357,9.199441111842099e-07,4.438058060732778,4.287704766892047,2.954930852778723,0.8180887777698215,nan,0.8743409663018438,1,er,degree,0.0011918609669043883
4932943.319435882,1233235.8298589706,308308.95746474265,49329.43319435882,20000.0,1042606.7527604435,271646.02988934645,101972.46967378259,60415.595147805216,55000.0,34.25764487940919,1.3313624756801636,False,False,False,False,True,0.004359794641269909,16.98969586651695,9.180934767057647e-07,4.731355620300024,4.539863256464019,3.023452883420845,0.8165016511659882,nan,0.8916233390217438,2,er,degree,0.0012255160490200457
5009201.253019188,1252300.313254797,313075.0783136992,50092.01253019187,20000.0,1096252.2468389052,282653.33684365376,103062.12639465039,60589.94022314406,55000.0,36.923532140077796,1.3394966817188552,False,False,False,False,True,0.004359794641269909,18.383274206797505,9.578390946968361e-07,4.569387444781486,4.430516643599688,3.037731601954895,0.8267381077735044,nan,0.8289933921910301,0,ba,uniform,0.001075772999688098
4844012.486093414,1211003.1215233535,302750.7803808384,48440.12486093414,20000.0,1116264.794973881,288256.3918786559,104473.09179314287,60815.694686902854,55000.0,36.61708917112011,1.406342236621777,False,False,False,False,True,0.004359794641269909,19.392170061636,9.212534748560236e-07,4.339483344726246,4.201131893835458,2.8978828441325937,0.7965069725885432,nan,0.8440453105857022,1,ba,uniform,0.001078417180934762
4946954.0327912755,1236738.5081978189,309184.6270494547,49469.540327912764,20000.0,1057477.257566919,275201.3712085969,102670.39630357249,60527.2634085716,55000.0,44.5468135616974,1.3496432085629135,False,False,False,False,True,0.004359794641269909,21.831009960182303,8.916917623123277e-07,4.678071322473073,4.493940211004243,3.011429177065487,0.8173100441363604,nan,0.8774613768892661,2,ba,uniform,0.0011902656902935485
5893173.253725148,1473293.313431287,368323.32835782174,58931.73253725149,20000.0,1282959.4598484926,327892.61747052404,113247.74631208534,62033.515151535365,55000.0,26.454006181951474,1.6009643198819514,False,False,False,False,True,0.004749431312512541,12.408219907843932,1.1465070432404275e-06,4.5934212562110766,4.493218922697242,3.2523678426483245,0.9499982774358854,nan,0.9194361419700801,0,ba,mmpp2,0.0015568342361163326
5616108.440917072,1404027.110229268,351006.777557317,56161.084409170726,20000.0,1265207.4224149343,325254.797521761,113015.17277210735,62128.560022402955,55000.0,25.02095567695516,1.5746945462807573,False,False,False,False,True,0.004550444504152497,12.513526413108304,1.0305721676755129e-06,4.438883570725075,4.316699156867417,3.10583764062472,0.9039495586075,nan,0.9397001540653174,1,ba,mmpp2,0.001549758770259296
5764430.68328879,1441107.6708221976,360276.9177055494,57644.30683288789,20000.0,1225848.5917848363,316403.1218812849,111471.68151335555,61935.46904213689,55000.0,30.62382999115477,1.5274113425567357,False,False,False,False,True,0.004749431312512541,14.107568945103406,1.0415936868935265e-06,4.702400216405009,4.554656927066933,3.232003974591378,0.9307155935748291,nan,0.9757046402090261,2,ba,mmpp2,0.0017149173085140893
5939124.019959574,1484781.0049898934,371195.25124747335,59391.24019959575,20000.0,1251031.6584612299,319862.45624355174,111073.88175793116,61871.82108126899,55000.0,25.71829823506976,1.330030079056469,False,False,False,False,True,0.004749431312512541,12.045090342102903,1.1782139812545825e-06,4.74738107528366,4.641935857140239,3.341877004500821,0.9599077441341999,nan,0.9184542344107434,0,ba,pareto,0.001565623954147028
5530677.7538626855,1382669.4384656714,345667.35961641785,55306.77753862686,20000.0,1260949.7670828765,323651.9990082558,112296.05129757311,62008.98456821231,55000.0,26.80207126625087,1.5434412282024381,False,False,False,False,True,0.004550444504152497,13.328646931860174,1.0550079581168005e-06,4.386120603882215,4.272086817638972,3.078179113354881,0.8919155493957047,nan,0.9255000076511063,1,ba,pareto,0.0014804073409584607
