# git_sha=91e1997789dfc52e821a1386d39e280de7209df3-dirty
# timestamp_utc=2026-07-24T08:42:47.796753+00:00
# device=cpu
# cpu_model=Apple M2  os_cpu_count=8  requested_threads=6
# torch=2.10.0 numpy=2.3.4 scipy=1.16.3 python=3.14.3
# config={"L_max": 3, "T": 20.0, "alpha": 0.1, "base_dt": 0.4, "beta": 0.5, "chunk": 250, "cross_hi": 0.05, "cross_lo": 1e-05, "lam": 0.3, "level_samples": 2000, "n_nodes": 200, "out": null, "pilot_samples": 50, "quick": false, "refinement": 2, "rel_eps": [0.02, 0.01, 0.005], "rho_high": 0.99, "rho_low": 0.3, "seeds": [0, 1, 2], "sigma": 0.433, "stress": true, "threads": 6, "topologies": ["er", "ba", "ws", "rr"], "traffic": ["uniform", "mmpp2", "pareto", "degree"], "var_samples": 4000}
C_l,V_l,W_MC_eps_0.005,W_MC_eps_0.01,W_MC_eps_0.02,W_MLMC_eps_0.005,W_MLMC_eps_0.01,W_MLMC_eps_0.02,antithetic_work_ratio_vs_mc,beta_var,both_at_pilot_floor_eps_0.005,both_at_pilot_floor_eps_0.01,both_at_pilot_floor_eps_0.02,crossover_rel_eps,cv_coefficient,cv_work_ratio_vs_mc,elapsed_s,lemma2_positive_variance_holds,min_V_l,n_nodes,n_steps_fine,pilot_samples,ratio_eps_0.005,ratio_eps_0.01,ratio_eps_0.02,ref_mean,reflection_bind_fraction,rho_max,rho_mean,rho_min,seed,topology,traffic,var_antithetic_per_pair,var_cv_per_path,var_mc_per_path
"[50.0, 150.0, 300.0, 600.0]","[0.0011130267929097561, 5.696442032187469e-06, 1.9427004670653276e-06, 8.947514220870395e-07]",47589.71894363622,20000.0,20000.0,60344.816407314815,55000.0,55000.0,40.949052356347536,1.335251132045323,False,True,True,0.004177132431062562,0.9203704044726181,20.44022824829992,14.29910922050476,True,8.947514220870395e-07,200,400,50,0.7886297743026613,nan,nan,0.8669847639021121,0.02209625,0.9887384500105155,0.6533568602667771,0.3004707882849155,2,ws,uniform,1.3649358510812243e-05,2.734452323624597e-05,0.0011178565925796169
"[50.0, 150.0, 300.0, 600.0]","[0.0014562533815093619, 9.867488517915743e-06, 2.5881369889367966e-06, 1.0605366986722606e-06]",55998.206146320066,20000.0,20000.0,61642.0506898154,55000.0,55000.0,28.555735400378726,1.608944195398897,False,True,True,0.004550444504152497,0.8792965873934094,13.932225347385051,14.31746506690979,True,1.0605366986722606e-06,200,400,50,0.9084416485120632,nan,nan,0.9237818438294083,0.0240118,0.9880229994600576,0.6293724394573139,0.30605590157493084,0,ws,mmpp2,2.6148069853155064e-05,5.3593546281352693e-05,0.0014933547279146317
"[50.0, 150.0, 300.0, 600.0]","[0.0015684325183601682, 8.698411971802445e-06, 2.4252769807991928e-06, 9.70239593508803e-07]",54739.71929135882,20000.0,20000.0,61768.8899032141,55000.0,55000.0,26.94301246596611,1.582169539821772,False,True,True,0.004550444504152497,0.8826904701451619,13.371778946478717,14.308497905731201,True,9.70239593508803e-07,200,400,50,0.8862020893872415,nan,nan,0.9421668015676109,0.02363295,0.9880466791311968,0.6385693555952997,0.3046024081034543,1,ws,mmpp2,2.817941899000553e-05,5.677916455022887e-05,0.0015184768742628023
"[50.0, 150.0, 300.0, 600.0]","[0.0015799123358679033, 8.614597464587931e-06, 2.393133538382335e-06, 1.0362559939306722e-06]",53880.47565540415,20000.0,20000.0,61489.896450692766,55000.0,55000.0,28.361723356251495,1.527701469209566,False,True,True,0.004550444504152497,0.8918775367152569,13.750570852884547,14.380689859390259,True,1.0362559939306722e-06,200,400,50,0.8762492501285895,nan,nan,0.9603451700603045,0.02294155,0.9887384500105155,0.6533568602667771,0.3004707882849155,2,ws,mmpp2,2.737622385635048e-05,5.646579301031321e-05,0.0015528737751052495
"[50.0, 150.0, 300.0, 600.0]","[0.0013965756987400317, 6.9204265412093004e-06, 3.0756323755744654e-06, 1.0963900261967736e-06]",55244.82487279023,20000.0,20000.0,61367.41619682558,55000.0,55000.0,27.424288358701386,1.329049926023615,False,True,True,0.004550444504152497,0.878387592654928,13.66597947943565,14.282871007919312,True,1.0963900261967736e-06,200,400,50,0.9002305832072484,nan,nan,0.9167083988217893,0.02430325,0.9880229994600576,0.6293724394573139,0.30605590157493084,0,ws,pareto,2.645079204655314e-05,5.308028959741086e-05,0.0014507882968014369
"[50.0, 150.0, 300.0, 600.0]","[0.0015047453235437162, 8.756405333376083e-06, 2.6472255826264568e-06, 1.0143682809476601e-06]",54245.9079450403,20000.0,20000.0,61708.41059164948,55000.0,55000.0,29.084565884048654,1.5548785998733248,False,True,True,0.004550444504152497,0.8879290766124471,14.489983168776101,14.315926551818848,True,1.0143682809476601e-06,200,400,50,0.8790683056805384,nan,nan,0.930562676417443,0.02393755,0.9880466791311968,0.6385693555952997,0.3046024081034543,1,ws,pareto,2.5235718944486604e-05,5.065360820113708e-05,0.0014679398605445108
"[50.0, 150.0, 300.0, 600.0]","[0.001558452592591125, 6.905910251520157e-06, 2.522971142058473e-06, 1.0363920074330342e-06]",53814.816942745616,20000.0,20000.0,61402.88744717282,55000.0,55000.0,29.567305362299408,1.3681308952343363,False,True,True,0.004550444504152497,0.8924430058796683,14.560354744118797,14.293842792510986,True,1.0363920074330342e-06,200,400,50,0.876421601330141,nan,nan,0.9552448325220811,0.02321235,0.9887384500105155,0.6533568602667771,0.3004707882849155,2,ws,pareto,2.5950130175178936e-05,5.269620394316649e-05,0.0015345508461618717
"[50.0, 150.0, 300.0, 600.0]","[0.0010292494501343602, 5.842292191540288e-06, 2.204965196398913e-06, 9.250335701762613e-07]",48918.499416770166,20000.0,20000.0,60459.884799449705,55000.0,55000.0,38.618569120337625,1.3294784427609514,False,True,True,0.004359794641269909,0.9074139688287767,19.61439127293906,14.272849798202515,True,9.250335701762613e-07,200,400,50,0.809106725542676,nan,nan,0.8349043431712575,0.0233813,0.9880229994600576,0.6293724394573139,0.30605590157493084,0,ws,degree,1.3796547312506622e-05,2.7163877206075997e-05,0.0010656058320200905
"[50.0, 150.0, 300.0, 600.0]","[0.0011020906430531257, 6.181135600427148e-06, 2.212785406504328e-06, 8.804442729786522e-07]",48067.6669803949,20000.0,20000.0,60679.359680904425,55000.0,55000.0,37.91517282740108,1.405784158552047,False,True,True,0.004177132431062562,0.9124694530647242,19.833761257480713,14.290549993515015,True,8.804442729786522e-07,200,400,50,0.7921584412421151,nan,nan,0.8489985189230629,0.02286165,0.9880466791311968,0.6385693555952997,0.3046024081034543,1,ws,degree,1.4278214267401727e-05,2.7294921754239372e-05,0.0010827219232304008
"[50.0, 150.0, 300.0, 600.0]","[0.001123098627570494, 5.806914771549719e-06, 1.9560059816928573e-06, 8.906032557681078e-07]",47841.47478122461,20000.0,20000.0,60364.74782512355,55000.0,55000.0,40.14259771552623,1.3524585343620426,False,True,True,0.004359794641269909,0.9189850551684519,20.134379242479422,14.281620979309082,True,8.906032557681078e-07,200,400,50,0.7925399592461015,nan,nan,0.869746297988013,0.02211915,0.9887384500105155,0.6533568602667771,0.3004707882849155,2,ws,degree,1.4086538594723066e-05,2.8084811813774503e-05,0.0011309405040244044
