# git_sha=116cdad5795775cff210d379367c29d1a476413c-dirty
# timestamp_utc=2026-07-24T08:03:45.363758+00:00
# device=cpu
# cpu_model=Apple M2  os_cpu_count=8  requested_threads=6
# torch=2.10.0 numpy=2.3.4 scipy=1.16.3 python=3.14.3
# config={"T": 20.0, "alpha": 0.1, "arms": ["mc", "antithetic", "cv", "qmc"], "base_dt": 0.05, "beta": 0.5, "budgets": [128, 256, 512, 1024, 2048], "cv_pilot": 512, "estimand": "terminal mean_i C_i(T)", "lam": 0.3, "n_nodes": 200, "n_steps": 400, "p_er": 0.05025125628140704, "quick": false, "ref_samples": 20000, "rel_eps": [0.02, 0.01, 0.005], "reps": 40, "seed": 0, "sigmas": [0.1, 0.433], "topology": "er"}
sigma,method,N,rep,estimate,paths_charged,work_units,ref_mean,abs_err
0.1,qmc,512,7,0.7497321721925704,512,204800,0.7497294702606984,2.7019318720178376e-06
0.1,qmc,512,8,0.7497294620431256,512,204800,0.7497294702606984,8.217572733393297e-09
0.1,qmc,512,9,0.749748400751129,512,204800,0.7497294702606984,1.8930490430668634e-05
0.1,qmc,512,10,0.7497269739404288,512,204800,0.7497294702606984,2.4963202696071107e-06
0.1,qmc,512,11,0.7497405085200284,512,204800,0.7497294702606984,1.1038259330020672e-05
0.1,qmc,512,12,0.7497486515188245,512,204800,0.7497294702606984,1.9181258126166334e-05
0.1,qmc,512,13,0.7497213076022137,512,204800,0.7497294702606984,8.162658484689445e-06
0.1,qmc,512,14,0.7497455962896489,512,204800,0.7497294702606984,1.612602895051385e-05
0.1,qmc,512,15,0.7497588416667504,512,204800,0.7497294702606984,2.9371406052081106e-05
0.1,qmc,512,16,0.7497326200690819,512,204800,0.7497294702606984,3.1498083835623802e-06
0.1,qmc,512,17,0.7497211800191248,512,204800,0.7497294702606984,8.290241573560841e-06
0.1,qmc,512,18,0.7497179483499371,512,204800,0.7497294702606984,1.1521910761258525e-05
0.1,qmc,512,19,0.7497277241175017,512,204800,0.7497294702606984,1.7461431967014107e-06
0.1,qmc,512,20,0.7497601952595373,512,204800,0.7497294702606984,3.072499883893798e-05
0.1,qmc,512,21,0.7497744658391801,512,204800,0.7497294702606984,4.4995578481699106e-05
0.1,qmc,512,22,0.7497245035887403,512,204800,0.7497294702606984,4.966671958039903e-06
0.1,qmc,512,23,0.7497248601264945,512,204800,0.7497294702606984,4.610134203830718e-06
0.1,qmc,512,24,0.7497241615452694,512,204800,0.7497294702606984,5.3087154289199745e-06
0.1,qmc,512,25,0.7497165781363633,512,204800,0.7497294702606984,1.2892124335084354e-05
0.1,qmc,512,26,0.7497327982774683,512,204800,0.7497294702606984,3.3280167699434315e-06
0.1,qmc,512,27,0.7497292781763077,512,204800,0.7497294702606984,1.920843906155767e-07
0.1,qmc,512,28,0.7497282787746973,512,204800,0.7497294702606984,1.1914860010842077e-06
0.1,qmc,512,29,0.7497794116465263,512,204800,0.7497294702606984,4.994138582792296e-05
0.1,qmc,512,30,0.7497089751509516,512,204800,0.7497294702606984,2.0495109746776485e-05
0.1,qmc,512,31,0.7497391253968078,512,204800,0.7497294702606984,9.655136109398832e-06
0.1,qmc,512,32,0.7497244737924675,512,204800,0.7497294702606984,4.996468230822337e-06
0.1,qmc,512,33,0.749731956775895,512,204800,0.7497294702606984,2.486515196631345e-06
