# git_sha=91e1997789dfc52e821a1386d39e280de7209df3-dirty
# timestamp_utc=2026-07-24T08:29:32.643561+00:00
# device=cpu
# cpu_model=Apple M2  os_cpu_count=8  requested_threads=6
# torch=2.10.0 numpy=2.3.4 scipy=1.16.3 python=3.14.3
# config={"L_max": 3, "T": 20.0, "alpha": 0.1, "base_dt": 0.4, "beta": 0.5, "chunk": 250, "cross_hi": 0.05, "cross_lo": 1e-05, "lam": 0.3, "level_samples": 2000, "n_nodes": 200, "out": null, "pilot_samples": 50, "quick": false, "refinement": 2, "rel_eps": [0.02, 0.01, 0.005], "rho_high": 0.99, "rho_low": 0.3, "seeds": [0, 1, 2], "sigma": 0.433, "stress": false, "threads": 6, "topologies": ["er", "ba", "ws", "rr", "caida"], "traffic": ["uniform", "mmpp2", "pareto", "degree"], "var_samples": 4000}
C_l,V_l,dt,level,mean_Y,seed,topology,traffic
50.0,0.0008777787236900599,0.4,0,0.7938440762251864,1,rr,mmpp2
150.0,6.640109124025788e-06,0.2,1,0.012635437761521623,1,rr,mmpp2
300.0,2.7848953410545923e-06,0.1,2,0.008811915872538205,1,rr,mmpp2
600.0,1.1740650785150613e-06,0.05,3,0.0062850697538306645,1,rr,mmpp2
50.0,0.0008649172113025601,0.4,0,0.7948008589062183,2,rr,mmpp2
150.0,6.668248378819078e-06,0.2,1,0.012569477186206417,2,rr,mmpp2
300.0,2.678944962739222e-06,0.1,2,0.008821872509392197,2,rr,mmpp2
600.0,1.27233521812714e-06,0.05,3,0.0063168409813716755,2,rr,mmpp2
50.0,0.0008831596193777181,0.4,0,0.7907889181946921,0,rr,pareto
150.0,6.329869431975627e-06,0.2,1,0.011909895873101796,0,rr,pareto
300.0,2.730071879943895e-06,0.1,2,0.008397523306429448,0,rr,pareto
600.0,1.2447290373672295e-06,0.05,3,0.006031781470008278,0,rr,pareto
50.0,0.0009004860706501919,0.4,0,0.7892455171611669,1,rr,pareto
150.0,6.443443400857917e-06,0.2,1,0.011935238159666614,1,rr,pareto
300.0,2.6794229685025912e-06,0.1,2,0.00838242292687839,1,rr,pareto
600.0,1.1924933632182592e-06,0.05,3,0.0059868997218937925,1,rr,pareto
50.0,0.0008801913751303412,0.4,0,0.7916196820893021,2,rr,pareto
150.0,6.603798873995777e-06,0.2,1,0.011945662294839074,2,rr,pareto
300.0,2.6810887961915066e-06,0.1,2,0.008408600350590652,2,rr,pareto
600.0,1.259876121196755e-06,0.05,3,0.00604761205554314,2,rr,pareto
50.0,0.0009547988846242532,0.4,0,0.7689998417066967,0,rr,degree
150.0,5.369900504737996e-06,0.2,1,0.008207796575484259,0,rr,degree
300.0,2.0770872417430327e-06,0.1,2,0.005997979149812069,0,rr,degree
600.0,9.609707792091451e-07,0.05,3,0.00438607961769102,0,rr,degree
50.0,0.0009722637944547386,0.4,0,0.7684276651388381,1,rr,degree
150.0,5.755903827003675e-06,0.2,1,0.008359060158822687,1,rr,degree
300.0,2.195694851451932e-06,0.1,2,0.005972557779097902,1,rr,degree
600.0,9.63003885589526e-07,0.05,3,0.004382578918698282,1,rr,degree
50.0,0.0009515874232089652,0.4,0,0.7702192181935982,2,rr,degree
150.0,5.853927272174629e-06,0.2,1,0.008290490877211124,2,rr,degree
300.0,2.1743990971175956e-06,0.1,2,0.00604222795542965,2,rr,degree
600.0,9.71406889147495e-07,0.05,3,0.004367492618009009,2,rr,degree
