# git_sha=91e1997789dfc52e821a1386d39e280de7209df3-dirty
# timestamp_utc=2026-07-24T08:29:32.643561+00:00
# device=cpu
# cpu_model=Apple M2  os_cpu_count=8  requested_threads=6
# torch=2.10.0 numpy=2.3.4 scipy=1.16.3 python=3.14.3
# config={"L_max": 3, "T": 20.0, "alpha": 0.1, "base_dt": 0.4, "beta": 0.5, "chunk": 250, "cross_hi": 0.05, "cross_lo": 1e-05, "lam": 0.3, "level_samples": 2000, "n_nodes": 200, "out": null, "pilot_samples": 50, "quick": false, "refinement": 2, "rel_eps": [0.02, 0.01, 0.005], "rho_high": 0.99, "rho_low": 0.3, "seeds": [0, 1, 2], "sigma": 0.433, "stress": false, "threads": 6, "topologies": ["er", "ba", "ws", "rr", "caida"], "traffic": ["uniform", "mmpp2", "pareto", "degree"], "var_samples": 4000}
W_MC_eps_0.005,W_MC_eps_0.01,W_MC_eps_0.02,W_MLMC_eps_0.005,W_MLMC_eps_0.01,W_MLMC_eps_0.02,antithetic_work_ratio_vs_mc,beta_var,crossover_rel_eps,cv_coefficient,cv_work_ratio_vs_mc,elapsed_s,lemma2_positive_variance_holds,min_V_l,n_nodes,ratio_eps_0.005,ratio_eps_0.01,ratio_eps_0.02,ref_mean,reflection_bind_fraction,seed,topology,traffic,var_antithetic_per_pair,var_cv_per_path,var_mc_per_path
47233.22466881182,20000.0,20000.0,60514.9027003867,55000.0,55000.0,28.19600203613789,1.281752415730537,0.004177132431062562,0.8960593964764623,13.692653007517759,14.435870170593262,True,9.61426514554574e-07,200,0.7805221947173351,0.36363636363636365,0.36363636363636365,0.809204259256897,0.0237997,1,er,degree,1.7139431363188458e-05,3.529363092377923e-05,0.0009665268832294148
47372.99123527942,20000.0,20000.0,60454.82567824465,55000.0,55000.0,28.982520459678955,1.3024941680847162,0.004177132431062562,0.8972194932562216,14.09031524225379,14.456085205078125,True,9.64960753339254e-07,200,0.7836097566042131,0.36363636363636365,0.36363636363636365,0.8056284223849568,0.02355095,2,er,degree,1.657617190754499e-05,3.409570568108408e-05,0.0009608384829071564
51046.44181413243,20000.0,20000.0,61006.79236030932,55000.0,55000.0,31.105135224799845,1.2707900413524416,0.004359794641269909,0.8886803223410996,16.57158052033057,14.422563076019287,True,9.938548659587924e-07,200,0.8367337445419103,0.36363636363636365,0.36363636363636365,0.7872611177236825,0.0215417,0,ba,uniform,1.589245580126165e-05,2.983040671020662e-05,0.0009886739735047968
50855.45067846214,20000.0,20000.0,61237.9514373828,55000.0,55000.0,29.620004050481523,1.3003665465254128,0.004359794641269909,0.8962193882082614,16.513507640414772,14.381553888320923,True,9.908704276187039e-07,200,0.8304564324047156,0.36363636363636365,0.36363636363636365,0.7873145246416279,0.0215711,1,ba,uniform,1.6629107730018573e-05,2.9827354008882885e-05,0.0009851084766380875
50996.81345345927,20000.0,20000.0,60999.60203312124,55000.0,55000.0,30.887125952838144,1.2956884604228114,0.004359794641269909,0.8991554837422345,15.797868220070285,14.424934148788452,True,9.894556994004633e-07,200,0.8360187895286478,0.36363636363636365,0.36363636363636365,0.7877312297195627,0.0216418,2,ba,uniform,1.6008170227898346e-05,3.129829691042771e-05,0.0009888927402071398
42385.30251883306,20000.0,20000.0,60051.47708278846,55000.0,55000.0,15.468897823207344,1.1371014333380738,0.0040021232150403065,0.8232798186414453,7.540379016236447,14.369315147399902,True,1.4362018111702638e-06,200,0.7058161527051138,0.36363636363636365,0.36363636363636365,0.8156623488121445,0.032079,0,ba,mmpp2,2.8483724311100675e-05,5.8433643725874866e-05,0.0008812236419856467
41901.782982918485,20000.0,20000.0,59988.725257756836,55000.0,55000.0,15.426498444398842,1.2427600954337426,0.0040021232150403065,0.832591940225393,7.823249267715289,14.368757963180542,True,1.2321246287552307e-06,200,0.6984943054361766,0.36363636363636365,0.36363636363636365,0.8196428863661076,0.03235665,1,ba,mmpp2,2.851244874425823e-05,5.622308981185702e-05,0.0008796944923986027
41920.25598296357,20000.0,20000.0,59826.79537084886,55000.0,55000.0,17.084018297024073,1.1932892024363755,0.0040021232150403065,0.8390505220556413,7.8560165224456915,14.279136180877686,True,1.2910893244838416e-06,200,0.7006936561303698,0.36363636363636365,0.36363636363636365,0.8249768927892801,0.0316519,2,ba,mmpp2,2.609380981965624e-05,5.67446775505627e-05,0.0008915742487961473
43730.661463953424,20000.0,20000.0,60289.424372417445,55000.0,55000.0,15.678987669313976,1.1599802888333326,0.0040021232150403065,0.8277363940413694,7.565092265288594,14.269376039505005,True,1.3421414430575888e-06,200,0.7253454800600204,0.36363636363636365,0.36363636363636365,0.8047019637367453,0.0314222,0,ba,pareto,2.822007581789875e-05,5.84873528649635e-05,0.0008849244415518801
43425.40900914828,20000.0,20000.0,60335.79780052656,55000.0,55000.0,16.553786522530018,1.2381444683465954,0.0040021232150403065,0.837733195303749,8.39138804956503,14.376254796981812,True,1.2191243922180524e-06,200,0.7197287612358264,0.36363636363636365,0.36363636363636365,0.811731186247604,0.03101155,1,ba,pareto,2.7007914908336477e-05,5.3278820520573185e-05,0.0008941665156225159
