B,method,seed,estimate,work,degenerate,ess,wall_s,ref
15.0,fixed_splitting,0,0.0006778483946492264,1722162,False,2500.0,0.03482391599754919,0.0006341026683676603
15.0,fixed_splitting,1,0.0007849989084705458,1739011,False,2500.0,0.03684024999893154,0.0006341026683676603
15.0,fixed_splitting,2,0.0005590337550225508,1687709,False,2500.0,0.036012834003486205,0.0006341026683676603
15.0,fixed_splitting,3,0.0005718309677121022,1734651,False,2500.0,0.03610133299662266,0.0006341026683676603
15.0,fixed_splitting,4,0.0005774590301459711,1717128,False,2500.0,0.03513212500183727,0.0006341026683676603
15.0,fixed_splitting,5,0.000714971227486344,1749943,False,2500.0,0.036409291002200916,0.0006341026683676603
15.0,fixed_splitting,6,0.0006416170094838586,1721096,False,2500.0,0.03586487500069779,0.0006341026683676603
15.0,fixed_splitting,7,0.0005486362110680444,1709038,False,2500.0,0.03614316699895426,0.0006341026683676603
15.0,fixed_splitting,8,0.000593169689642476,1741369,False,2500.0,0.03574995799863245,0.0006341026683676603
15.0,fixed_splitting,9,0.0004667667618710882,1677615,False,2500.0,0.034521249999670545,0.0006341026683676603
20.0,plain_mc,0,2e-05,10000000,False,50000.0,0.05846529100017506,4.247501142726173e-06
20.0,plain_mc,1,0.0,10000000,True,50000.0,0.0585806249982852,4.247501142726173e-06
20.0,plain_mc,2,0.0,10000000,True,50000.0,0.05793808300222736,4.247501142726173e-06
20.0,plain_mc,3,0.0,10000000,True,50000.0,0.05844058300135657,4.247501142726173e-06
20.0,plain_mc,4,2e-05,10000000,False,50000.0,0.058130875000642845,4.247501142726173e-06
20.0,plain_mc,5,0.0,10000000,True,50000.0,0.058411707999766804,4.247501142726173e-06
20.0,plain_mc,6,0.0,10000000,True,50000.0,0.05781608300094376,4.247501142726173e-06
20.0,plain_mc,7,0.0,10000000,True,50000.0,0.05777166700136149,4.247501142726173e-06
20.0,plain_mc,8,0.0,10000000,True,50000.0,0.05817279199982295,4.247501142726173e-06
20.0,plain_mc,9,2e-05,10000000,False,50000.0,0.058305041002313374,4.247501142726173e-06
20.0,gpu_mlmc_is,0,2.2993323283172217e-05,10000000,False,33.49165507496969,0.12544262500159675,4.247501142726173e-06
20.0,gpu_mlmc_is,1,7.16470939335984e-06,10000000,False,6.624329088042532,0.12494016599885072,4.247501142726173e-06
20.0,gpu_mlmc_is,2,5.432150538046139e-06,10000000,False,3.685697850395037,0.12652562500079512,4.247501142726173e-06
20.0,gpu_mlmc_is,3,1.7372619441446036e-05,10000000,False,30.471415184235877,0.12469262499871547,4.247501142726173e-06
20.0,gpu_mlmc_is,4,1.0256275129010758e-05,10000000,False,6.57066466237254,0.1242848750007397,4.247501142726173e-06
20.0,gpu_mlmc_is,5,1.159333781879309e-05,10000000,False,7.89848352988439,0.12442150000060792,4.247501142726173e-06
20.0,gpu_mlmc_is,6,8.365762315426851e-06,10000000,False,11.638698625014996,0.1253561669982446,4.247501142726173e-06
20.0,gpu_mlmc_is,7,8.245734442436148e-06,10000000,False,7.7299337362115725,0.12436295799852815,4.247501142726173e-06
20.0,gpu_mlmc_is,8,1.4140173512522049e-05,10000000,False,14.912198035378095,0.12426187500022934,4.247501142726173e-06
20.0,gpu_mlmc_is,9,3.362520098832872e-05,10000000,False,63.32149021765906,0.12449941700106137,4.247501142726173e-06
20.0,ams,0,5.029296875e-06,1243616,False,2500.0,0.045959499999298714,4.247501142726173e-06
20.0,ams,1,4.2022705078125e-06,1236246,False,2500.0,0.0465913330008334,4.247501142726173e-06
20.0,ams,2,4.827880859375e-06,1224151,False,2500.0,0.04318729100123164,4.247501142726173e-06
20.0,ams,3,3.62396240234375e-06,1261458,False,2500.0,0.04850895799972932,4.247501142726173e-06
20.0,ams,4,2.93731689453125e-06,1231168,False,2500.0,0.04449100000056205,4.247501142726173e-06
20.0,ams,5,4.144287109375e-06,1242788,False,2500.0,0.04555429199899663,4.247501142726173e-06
20.0,ams,6,4.9346923828125e-06,1245220,False,2500.0,0.04425920799985761,4.247501142726173e-06
20.0,ams,7,4.7332763671875e-06,1237166,False,2500.0,0.04493954199642758,4.247501142726173e-06
20.0,ams,8,3.0181884765625e-06,1222427,False,2500.0,0.04769416600174736,4.247501142726173e-06
20.0,ams,9,5.224609375e-06,1250332,False,2500.0,0.044307000000117114,4.247501142726173e-06
20.0,cross_entropy,0,7.855644754424504e-06,17000000,False,3.681101422001825,0.1109290830027021,4.247501142726173e-06
20.0,cross_entropy,1,1.4848689450334835e-05,17000000,False,12.91710851579001,0.11161587499736925,4.247501142726173e-06
20.0,cross_entropy,2,1.8332277171992887e-05,17000000,False,41.345925197897245,0.11069162499916274,4.247501142726173e-06
